site,treatment,species,obs_round,date,year,count,obs_round_1_recaptures,obs_round_2_recaptures,obs_round_1_and_2_double_recaptures,notes
locarno,1,Andrena prunorum,2,7.7.2023,2,0,0,NA,NA,
locarno,1,Andrena prunorum,3,7.12.2023,2,0,0,0,0,
balaclava,0,Anthidium oblongatum,1,7.5.2023,2,7,NA,NA,NA,
balaclava,0,Anthidium oblongatum,2,7.7.2023,2,3,0,NA,NA,
balaclava,0,Anthidium oblongatum,3,7.12.2023,2,2,0,0,0,
balaclava,0,Halictus rubicundus,1,7.5.2023,2,0,NA,NA,NA,
balaclava,0,Halictus rubicundus,2,7.7.2023,2,0,0,NA,NA,
balaclava,0,Halictus rubicundus,3,7.12.2023,2,0,0,0,0,
balaclava,0,Melissodes microsticta,1,7.5.2023,2,0,NA,NA,NA,
balaclava,0,Melissodes microsticta,2,7.7.2023,2,0,0,NA,NA,
balaclava,0,Melissodes microsticta,3,7.12.2023,2,0,0,0,0,
balaclava,0,Megachile montivaga,1,7.5.2023,2,0,0,NA,NA,
balaclava,0,Megachile montivaga,2,7.7.2023,2,0,0,NA,NA,
balaclava,0,Megachile montivaga,3,7.12.2023,2,0,0,0,0,
balaclava,0,Andrena prunorum,1,7.5.2023,2,0,NA,NA,NA,
balaclava,0,Andrena prunorum,2,7.7.2023,2,0,0,NA,NA,
balaclava,0,Andrena prunorum,3,7.12.2023,2,0,0,0,0,
kensington,0,Anthidium oblongatum,1,7.4.2023,2,2,NA,NA,NA,
kensington,0,Anthidium oblongatum,2,7.6.2023,2,1,0,NA,NA,
kensington,0,Anthidium oblongatum,3,7.11.2023,2,2,0,0,0,
kensington,0,Halictus rubicundus,1,7.4.2023,2,0,NA,NA,NA,
kensington,0,Halictus rubicundus,2,7.6.2023,2,0,0,NA,NA,
kensington,0,Halictus rubicundus,3,7.11.2023,2,1,0,0,0,
kensington,0,Melissodes microsticta,1,7.4.2023,2,9,NA,NA,NA,
kensington,0,Melissodes microsticta,2,7.6.2023,2,1,0,NA,NA,
kensington,0,Melissodes microsticta,3,7.11.2023,2,6,1,1,0,
kensington,0,Megachile montivaga,1,7.4.2023,2,0,NA,NA,NA,
kensington,0,Megachile montivaga,2,7.6.2023,2,0,0,NA,NA,
kensington,0,Megachile montivaga,3,7.11.2023,2,0,0,0,0,
kensington,0,Andrena prunorum,1,7.4.2023,2,0,NA,NA,NA,
kensington,0,Andrena prunorum,2,7.6.2023,2,0,0,NA,NA,
kensington,0,Andrena prunorum,3,7.11.2023,2,0,0,0,0,
moberly,0,Anthidium oblongatum,1,7.4.2023,2,12,NA,NA,NA,
moberly,0,Anthidium oblongatum,2,7.6.2023,2,13,0,NA,NA,
moberly,0,Anthidium oblongatum,3,7.11.2023,2,2,0,0,0,
moberly,0,Halictus rubicundus,1,7.4.2023,2,0,NA,NA,NA,
moberly,0,Halictus rubicundus,2,7.6.2023,2,0,0,NA,NA,
moberly,0,Halictus rubicundus,3,7.11.2023,2,0,0,0,0,
moberly,0,Melissodes microsticta,1,7.4.2023,2,1,NA,NA,NA,
moberly,0,Melissodes microsticta,2,7.6.2023,2,0,0,NA,NA,
moberly,0,Melissodes microsticta,3,7.11.2023,2,1,0,0,0,
moberly,0,Megachile montivaga,1,7.4.2023,2,0,NA,NA,NA,
moberly,0,Megachile montivaga,2,7.6.2023,2,0,0,NA,NA,
moberly,0,Megachile montivaga,3,7.11.2023,2,0,0,0,0,
moberly,0,Andrena prunorum,1,7.4.2023,2,0,NA,NA,NA,
moberly,0,Andrena prunorum,2,7.6.2023,2,0,0,NA,NA,
moberly,0,Andrena prunorum,3,7.11.2023,2,0,0,0,0,
oak meadows,1,Anthidium oblongatum,1,7.4.2023,2,0,NA,NA,NA,
oak meadows,1,Anthidium oblongatum,2,7.6.2023,2,2,0,NA,NA,
oak meadows,1,Anthidium oblongatum,3,7.11.2023,2,0,0,0,0,
oak meadows,1,Halictus rubicundus,1,7.4.2023,2,2,NA,NA,NA,
oak meadows,1,Halictus rubicundus,2,7.6.2023,2,0,0,NA,NA,
oak meadows,1,Halictus rubicundus,3,7.11.2023,2,2,0,0,0,
oak meadows,1,Melissodes microsticta,1,7.4.2023,2,18,NA,NA,NA,
oak meadows,1,Melissodes microsticta,2,7.6.2023,2,2,0,NA,NA,
oak meadows,1,Melissodes microsticta,3,7.11.2023,2,3,1,0,0,
oak meadows,1,Megachile montivaga,1,7.4.2023,2,3,NA,NA,NA,
oak meadows,1,Megachile montivaga,2,7.6.2023,2,0,0,NA,NA,
oak meadows,1,Megachile montivaga,3,7.11.2023,2,1,0,0,0,
oak meadows,1,Andrena prunorum,1,7.4.2023,2,0,NA,NA,NA,
oak meadows,1,Andrena prunorum,2,7.6.2023,2,1,0,NA,NA,
oak meadows,1,Andrena prunorum,3,7.11.2023,2,0,0,0,0,
bobolink,0,Anthidium oblongatum,1,7.4.2023,2,6,NA,NA,NA,
bobolink,0,Anthidium oblongatum,2,7.6.2023,2,2,0,NA,NA,
bobolink,0,Anthidium oblongatum,3,7.11.2023,2,2,0,0,0,
bobolink,0,Halictus rubicundus,1,7.4.2023,2,0,NA,NA,NA,
bobolink,0,Halictus rubicundus,2,7.6.2023,2,0,0,NA,NA,
bobolink,0,Halictus rubicundus,3,7.11.2023,2,0,0,0,0,
bobolink,0,Melissodes microsticta,1,7.4.2023,2,0,NA,NA,NA,
bobolink,0,Melissodes microsticta,2,7.6.2023,2,0,0,NA,NA,
bobolink,0,Melissodes microsticta,3,7.11.2023,2,0,0,0,0,
bobolink,0,Megachile montivaga,1,7.4.2023,2,0,NA,NA,NA,
bobolink,0,Megachile montivaga,2,7.6.2023,2,0,0,NA,NA,
bobolink,0,Megachile montivaga,3,7.11.2023,2,0,0,0,0,
bobolink,0,Andrena prunorum,1,7.4.2023,2,0,NA,NA,NA,
bobolink,0,Andrena prunorum,2,7.6.2023,2,0,0,NA,NA,
bobolink,0,Andrena prunorum,3,7.11.2023,2,0,0,0,0,
quilchena,0,Anthidium oblongatum,1,7.5.2023,2,4,NA,NA,NA,
quilchena,0,Anthidium oblongatum,2,7.7.2023,2,2,0,NA,NA,
quilchena,0,Anthidium oblongatum,3,7.12.2023,2,2,0,0,0,
quilchena,0,Halictus rubicundus,1,7.5.2023,2,2,NA,NA,NA,
quilchena,0,Halictus rubicundus,2,7.7.2023,2,0,0,NA,NA,
quilchena,0,Halictus rubicundus,3,7.12.2023,2,0,0,0,0,
quilchena,0,Melissodes microsticta,1,7.5.2023,2,1,NA,NA,NA,
quilchena,0,Melissodes microsticta,2,7.7.2023,2,2,0,NA,NA,
quilchena,0,Melissodes microsticta,3,7.12.2023,2,0,0,0,0,
quilchena,0,Megachile montivaga,1,7.5.2023,2,1,NA,NA,NA,
quilchena,0,Megachile montivaga,2,7.7.2023,2,0,0,NA,NA,
quilchena,0,Megachile montivaga,3,7.12.2023,2,0,0,0,0,
quilchena,0,Andrena prunorum,1,7.5.2023,2,0,NA,NA,NA,
quilchena,0,Andrena prunorum,2,7.7.2023,2,0,0,NA,NA,
quilchena,0,Andrena prunorum,3,7.12.2023,2,0,0,0,0,
